,route_name,route_ID,type_string,sector_ID,parent_sector,parent_loc,num_votes,adjusted_num_votes,mean_rating,median_rating,mode_rating,RQI_mean,RQI_median,ARQI_mean,ARQI_median,nopm_YDS,YDS_rank,safety,state
29985,Coreolis Effect,106966352,trad,105985858,South East Face,"[-122.14792, 44.30132]",2,2.8945352192994194,3.5,3.5,3.0,1.75,1.75,2.290824870029695,2.290824870029695,5.9+,95,R,Oregon
29986,Carnival,117687306,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.1985516234839741,1.0,1.0,1.0,0.0,0.0,0.16565963417313667,0.16565963417313667,5.7,73,,Oregon
29987,Cyclops,107329781,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.7013046864024743,2.5,2.5,2.0,1.25,1.25,1.574521281296323,1.574521281296323,5.8,83,,Oregon
29988,Marty McFly,118771876,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.3563890589027245,2.0,2.0,2.0,1.0,1.0,1.1512437250360859,1.1512437250360859,5.6,63,,Oregon
29989,Dirty Snacks,107329771,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.1781945294513623,2.0,2.0,2.0,0.0,0.0,0.3024874500721715,0.3024874500721715,5.6,63,,Oregon
29990,Charlie the Tuna Bird,107329817,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.3563890589027245,1.5,1.5,1.0,0.75,0.75,0.8634327937770644,0.8634327937770644,5.6,63,PG,Oregon
29991,Kindergarden,107329744,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.399002055777148,1.0,1.0,1.0,0.0,0.0,0.2852047673050071,0.2852047673050071,5.4,43,,Oregon
29992,Eightball,107329798,trad,107329692,"Drive In, The","[-121.0192, 43.996]",3,4.197006167331445,2.3333333333333335,2.0,1.0,1.5555555555555558,1.3333333333333335,1.7773814856816723,1.5234698448700048,5.4,43,,Oregon
29993,The Needle,117687230,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.89096464618388,2.0,2.0,1.0,1.0,1.0,1.3081893953148018,1.3081893953148018,5.8/9,91,PG,Oregon
29994,Varassic,107329757,trad,107329692,"Drive In, The","[-121.0192, 43.996]",2,2.930230794130436,1.0,1.0,1.0,0.5,0.5,0.6587299532845309,0.6587299532845309,5.5,53,,Oregon
29995,Sceptre Sammy,117687391,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.465115397065218,2.0,2.0,2.0,0.0,0.0,0.6349198131381235,0.6349198131381235,5.5,53,PG,Oregon
29996,Unknown,107329711,trad,107329692,"Drive In, The","[-121.0192, 43.996]",1,1.465115397065218,2.0,2.0,2.0,0.0,0.0,0.6349198131381235,0.6349198131381235,5.5,53,,Oregon
29997,The Lichenator,111973540,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",2,2.3971032469679483,3.0,3.0,3.0,1.5,1.5,1.748489451259705,1.748489451259705,5.7,73,,Oregon
29998,Brownie Basin Granite,106012276,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.1985516234839741,2.0,2.0,2.0,0.0,0.0,0.33131926834627334,0.33131926834627334,5.7,73,,Oregon
29999,Barley Cox Route,110939892,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.1985516234839741,4.0,4.0,4.0,0.0,0.0,0.6626385366925467,0.6626385366925467,5.7,73,,Oregon
30000,Brownie Basin - Chimney Point - The Slab,106013057,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",2,2.9369680139401524,2.5,2.5,2.0,1.25,1.25,1.648782013241584,1.648782013241584,5.10b,102,,Oregon
30001,Up On Cripple Creek,114532187,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",2,2.850842213118086,3.0,3.0,3.0,1.5,1.5,1.947679395865696,1.947679395865696,5.9,93,,Oregon
30002,Benthos Buttress - Unnamed,106013065,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.9301275106966789,1.0,1.0,1.0,0.0,0.0,0.48189951469110437,0.48189951469110437,5.10b/c,103,,Oregon
30003,Benthos Buttress - The Kozjak Route,106013061,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.9301275106966789,2.0,2.0,2.0,0.0,0.0,0.9637990293822087,0.9637990293822087,5.10b/c,103,,Oregon
30004,Barley Hurley Route,108514225,trad,105917105,Wallowa Mountains,"[-117.3045, 45.1622]",1,1.4472676096497097,4.0,4.0,4.0,0.0,0.0,1.2361711314964463,1.2361711314964463,5.9+,95,,Oregon
30005,Double Crack,118178083,trad,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",1,1.1985516234839741,3.0,3.0,3.0,0.0,0.0,0.49697890251941,0.49697890251941,5.7,73,,Oregon
30006,Chinquapin,118177971,trad,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",1,1.1985516234839741,3.0,3.0,3.0,0.0,0.0,0.49697890251941,0.49697890251941,5.7,73,,Oregon
30007,Cave Route,118178123,trad,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",1,1.1985516234839741,2.0,2.0,2.0,0.0,0.0,0.33131926834627334,0.33131926834627334,5.7,73,,Oregon
30008,First Date,118178174,trad,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",1,1.3506523432012372,2.0,2.0,2.0,0.0,0.0,0.5192340500741168,0.5192340500741168,5.8,83,,Oregon
30009,Alley Oop,118177995,sport,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",1,1.135918122867783,2.0,2.0,2.0,0.0,0.0,0.23930971807129708,0.23930971807129708,5.10a,100,,Oregon
30010,Twin Sister,118178146,trad,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",1,1.425421106559043,1.0,1.0,1.0,0.0,0.0,0.29845293057713074,0.29845293057713074,5.9,93,,Oregon
30011,Dime,113991223,trad,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",2,2.850842213118086,3.0,3.0,2.0,1.5,1.5,1.947679395865696,1.947679395865696,5.9,93,,Oregon
30012,Almost Polock,118178048,trad,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",1,1.2159710736200695,4.0,4.0,4.0,0.0,0.0,0.7104480634628971,0.7104480634628971,5.8/9,85,,Oregon
30013,3D Crack,118178022,trad,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",1,2.283721784700769,3.0,3.0,3.0,0.0,0.0,1.68635487032713,1.68635487032713,5.10c/d,105,,Oregon
30014,Throw it Back,118178102,trad,113991218,Youtlkut Pillars,"[-122.66961, 43.22539]",1,1.4472676096497097,3.0,3.0,3.0,0.0,0.0,0.9271283486223347,0.9271283486223347,5.9+,95,,Oregon
30015,Offwidth Corner Crack,118002271,trad,115171841,Section 4,"[-121.73426, 45.27665]",1,1.1985516234839741,3.0,3.0,3.0,0.0,0.0,0.49697890251941,0.49697890251941,5.7,73,,Oregon
30016,Unnamed,115171877,trad,115171841,Section 4,"[-121.73426, 45.27665]",5,6.753261716006186,2.2,2.25,2.0,1.7600000000000002,1.8,1.8742314910163058,1.9168276612666764,5.8,83,,Oregon
30017,Unnamed,115171850,trad,115171841,Section 4,"[-121.73426, 45.27665]",3,4.276263319677129,2.6666666666666665,2.75,3.0,1.777777777777778,1.8333333333333335,2.043069271624116,2.10691518636237,5.9,93,,Oregon
30018,Left Prow,118008129,trad,115171841,Section 4,"[-121.73426, 45.27665]",1,1.425421106559043,2.0,2.0,2.0,0.0,0.0,0.5969058611542615,0.5969058611542615,5.9,93,PG,Oregon
30019,Right Twin Crack,116739102,trad,112270961,Twin Cracks,"[-121.157, 44.64246]",1,1.1985516234839741,4.0,4.0,4.0,0.0,0.0,0.6626385366925467,0.6626385366925467,5.7,73,,Oregon
30020,Trad Dad,109626322,trad,111963879,(3) The Aviary,"[-121.56848, 45.4091]",3,3.5956548704519227,1.6666666666666667,1.75,2.0,1.1111111111111114,1.1666666666666667,1.2031442412072983,1.2633014532676632,5.7,73,,Oregon
30021,It's All Good,109626337,trad,111963879,(3) The Aviary,"[-121.56848, 45.4091]",2,2.3971032469679483,1.5,1.5,1.0,0.75,0.75,0.8742447256298524,0.8742447256298524,5.7,73,R,Oregon
30022,Bulge Boogie,109610461,trad,111963879,(3) The Aviary,"[-121.56848, 45.4091]",23,33.775132160311756,2.739130434782609,2.8,3.0,2.620037807183365,2.6782608695652175,2.6580314054203704,2.717098769985267,5.10b,102,,Oregon
30023,Kestrel (no need to speed),111965825,sport,111963879,(3) The Aviary,"[-121.56848, 45.4091]",11,15.60217231035423,2.6363636363636362,2.75,3.0,2.396694214876033,2.5,2.4673894971270096,2.5737424926928294,5.10c,104,,Oregon
30024,Blue Grouse,111965884,sport,111963879,(3) The Aviary,"[-121.56848, 45.4091]",50,60.30370013947983,2.92,2.9411764705882355,3.0,2.8615999999999997,2.8823529411764706,2.871578427306348,2.8924037341925346,5.9,93,,Oregon
30025,Golden Eagle (Eaglet roof extension),113431872,sport,111963879,(3) The Aviary,"[-121.56848, 45.4091]",5,13.448872743805833,2.8,2.875,3.0,2.2399999999999998,2.3000000000000003,2.5918041122599216,2.661227436695455,5.12b,122,,Oregon
